Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),CV F1-Weighted Mean,Training Time (s)
Random Forest,0.7776,0.5143140046626217,0.5502703468209884,0.5079048242045971,0.8125881328551382,0.7776,0.790447439461805,0.7864101917945302,120.22831010818481
Logistic Regression,0.65795,0.33483625260698635,0.432810739154333,0.28787682611340093,0.752234283653086,0.65795,0.6772252834714441,0.680754803714857,347.5994071960449
SVM,0.73745,0.33396459481864765,0.29125156315966005,0.2778212225198255,0.7366844279027941,0.73745,0.7204506891529275,0.7210534892554807,3515.7932538986206
KNN,0.78885,0.4893101607963982,0.4627763552283566,0.4655281611756633,0.7874889645840023,0.78885,0.7856283897279158,0.7806535406987789,33.15143966674805
XGBoost,0.81455,0.6571548683014434,0.5051826787554125,0.5089725839609984,0.8369106051933313,0.81455,0.8078867382277761,0.8066777036002154,110.0162627696991
